pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00001/KRW/251030-260430/2.5               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251110-281110/2.8    -474,056,974.86   -458,770,247.66      636,846.12   14,649,881.08          0.00        0.0000        0.0000
00000/KRW/251125-271125/2.7    -338,641,397.01   -327,444,898.18    1,098,620.74   10,097,878.09          0.00        0.0000        0.0000
00000/KRW/251126-270526/2.7    -111,050,103.30   -107,116,644.84      553,678.30    3,379,780.16          0.00        0.0000        0.0000
00000/KRW/251201-281201/2.9     613,539,132.58    590,237,764.24     -976,952.96  -22,324,415.38          0.00        0.0000        0.0000
00003/KRW/251202-261202/2.8      -7,068,631.25     -6,530,558.77      130,612.39      407,460.09          0.00        0.0000        0.0000
00001/KRW/251202-270602/2.8    -175,151,870.98   -167,102,539.84    1,137,929.51    6,911,401.63          0.00        0.0000        0.0000
00000/KRW/251202-271202/2.9     281,489,492.06    270,009,631.10   -1,118,785.52  -10,361,075.44          0.00        0.0000        0.0000
00001/KRW/251208-271208/2.9    -310,470,310.48   -298,765,051.50    1,128,153.57   10,577,105.40          0.00        0.0000        0.0000
00000/KRW/251218-271220/2.9    -318,066,550.49   -305,891,204.98    1,151,960.67   11,023,384.84          0.00        0.0000        0.0000
00001/KRW/251224-271224/2.9    -210,056,777.62   -201,833,501.86      773,606.61    7,449,669.15          0.00        0.0000        0.0000
00003/KRW/260107-270107/2.7     -98,299,206.84    -92,978,816.21      893,366.72    4,427,023.91          0.00        0.0000        0.0000
00000/KRW/260109-280110/2.8     559,624,490.92    539,241,971.58   -1,865,347.35  -18,517,171.99          0.00        0.0000        0.0000
00001/KRW/260109-280110/2.8     355,029,804.92    342,019,048.20   -1,190,875.40  -11,819,881.32          0.00        0.0000        0.0000
00000/KRW/260112-270712/2.8     642,388,602.34    619,824,191.62   -3,196,426.82  -19,367,983.90          0.00        0.0000        0.0000
00000/KRW/260116-270118/2.8     155,961,032.89    144,175,334.41   -1,665,589.19  -10,120,109.30          0.00        0.0000        0.0000
00000/KRW/260119-260720/2.7      35,510,525.85     35,513,337.20        2,811.34            0.00          0.00        0.0000        0.0000
00000/KRW/260120-290122/3.2     488,657,233.31    464,533,179.26   -1,013,761.67  -23,110,292.38          0.00        0.0000        0.0000
00001/KRW/260121-310121/3.3     261,794,819.83    250,848,102.11     -325,038.15  -10,621,679.57          0.00        0.0000        0.0000
00000/KRW/260123-270125/2.7    -101,250,436.25    -95,135,642.42      868,508.45    5,246,285.38          0.00        0.0000        0.0000
00000/KRW/260129-280131/3.0     103,995,939.24     99,449,150.19     -327,896.63   -4,218,892.42          0.00        0.0000        0.0000
00000/KRW/260202-270202/2.8     -47,293,534.96    -43,468,730.60      548,159.70    3,276,644.66          0.00        0.0000        0.0000
00000/KRW/260203-290205/3.2    -324,027,834.21   -307,813,468.36      681,100.34   15,533,265.51          0.00        0.0000        0.0000
00002/KRW/260204-280204/3.1    -260,446,124.25   -246,625,538.43      993,775.51   12,826,810.31          0.00        0.0000        0.0000
00000/KRW/260204-360204/3.5    -230,704,366.52   -225,426,755.44      155,302.33    5,122,308.75          0.00        0.0000        0.0000
00000/KRW/260205-270205/2.9      39,400,726.49     35,517,161.05     -558,555.27   -3,325,010.17          0.00        0.0000        0.0000
00001/KRW/260206-310206/3.4     245,437,375.22    234,428,420.98     -328,024.26  -10,680,929.98          0.00        0.0000        0.0000
00000/KRW/260211-270211/2.9     -51,125,179.21    -45,792,823.93      770,688.10    4,561,667.19          0.00        0.0000        0.0000
00005/KRW/260223-290223/3.1    -882,033,743.19   -841,120,587.70    1,711,575.49   39,201,579.99          0.00        0.0000        0.0000
00000/KRW/260224-290226/3.1    -355,671,069.56   -339,280,310.74      685,380.40   15,705,378.43          0.00        0.0000        0.0000
00000/KRW/260225-310225/3.3    -305,356,345.47   -294,334,030.14      322,762.71   10,699,552.61          0.00        0.0000        0.0000
00000/KRW/260303-270903/2.9     188,682,430.02    180,407,818.52     -942,898.73   -7,331,712.77          0.00        0.0000        0.0000
00000/KRW/260311-270311/2.9     -51,221,178.92    -46,684,998.83      666,907.96    3,869,272.13          0.00        0.0000        0.0000
00000/KRW/260318-310318/3.5    -186,598,456.77   -176,268,676.26      310,752.54   10,019,027.97          0.00        0.0000        0.0000
00001/KRW/170516-270517/1.9    -131,171,587.27   -129,273,571.41      261,354.70    1,636,661.17          0.00        0.0000        0.0000
00000/KRW/220728-280728/3.0    -122,366,042.55   -116,703,173.71      247,675.12    5,415,193.71          0.00        0.0000        0.0000
00000/KRW/230203-280203/3.0     104,357,865.31     99,769,836.65     -329,117.09   -4,258,911.58          0.00        0.0000        0.0000
00000/KRW/230303-280303/3.7        -484,284.41     -5,515,313.95     -351,575.40   -4,679,454.14          0.00        0.0000        0.0000
00000/KRW/230307-280307/3.5      28,850,849.08     23,770,585.19     -350,116.01   -4,730,147.88          0.00        0.0000        0.0000
00001/KRW/230921-260921/3.8      23,183,970.68     23,185,806.14        1,835.46            0.00          0.00        0.0000        0.0000
00000/KRW/240117-270118/3.2     -12,225,886.45    -13,407,845.82     -168,982.52   -1,012,976.85          0.00        0.0000        0.0000
00000/KRW/241017-261019/2.9       7,093,800.91      7,332,801.13      170,285.72       68,714.50          0.00        0.0000        0.0000
00000/KRW/241226-261228/2.7     -17,538,041.84    -16,635,217.82      165,248.42      737,575.60          0.00        0.0000        0.0000
00000/KRW/250307-270308/2.6      43,491,103.54     42,002,211.71     -216,691.18   -1,272,200.64          0.00        0.0000        0.0000
00001/KRW/250307-270308/2.6      86,982,207.07     84,004,423.43     -433,382.35   -2,544,401.29          0.00        0.0000        0.0000
00000/KRW/250310-270310/2.5     479,726,453.06    464,715,994.00   -2,184,332.30  -12,826,126.77          0.00        0.0000        0.0000
00000/KRW/250411-270412/2.3    -207,527,743.37   -202,595,060.21      563,856.36    4,368,826.80          0.00        0.0000        0.0000
00001/KRW/250418-260420/2.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/250512-261112/2.2     -91,696,886.56    -90,772,793.46      303,607.78      620,485.31          0.00        0.0000        0.0000
00001/KRW/250801-270802/2.3     488,925,342.98    479,310,173.84   -1,145,570.03   -8,469,599.11          0.00        0.0000        0.0000
00000/KRW/250826-270826/2.3    -270,520,875.05   -265,210,631.14      603,336.87    4,706,907.04          0.00        0.0000        0.0000
00001/KRW/250829-260831/2.3     114,249,958.26    114,259,003.36        9,045.09            0.00          0.00        0.0000        0.0000
00000/KRW/251031-270430/2.5     313,272,753.02    304,252,213.55   -1,259,460.66   -7,761,078.81          0.00        0.0000        0.0000
00000/KRW/251113-261113/2.6     -53,464,568.97    -51,863,727.38      521,225.07    1,079,616.52          0.00        0.0000        0.0000
00000/KRW/251127-260527/2.6               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251128-260529/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251208-271208/2.8    -209,173,146.46   -201,370,216.10      751,878.68    7,051,051.68          0.00        0.0000        0.0000
00000/KRW/251210-261210/2.8     -52,055,399.72    -48,845,619.33      706,406.12    2,503,374.28          0.00        0.0000        0.0000
